event_name,clean_page_location,unique_users
view_item,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,1405
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Dino+Game+Tee,1372
scroll,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,1361
page_view,shop.googlemerchandisestore.com/store-policies/shipping-information,1357
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Unisex+Eco+Tee+Black,1353
scroll,shop.googlemerchandisestore.com/Google+Redesign/Stationery,1328
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Unisex+Eco+Tee+Black,1324
first_visit,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,1309
scroll,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Stickers,1306
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,1281
user_engagement,shop.googlemerchandisestore.com/store-policies/shipping-information,1279
session_start,shop.googlemerchandisestore.com/signin,1275
session_start,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,1209
view_item,shop.googlemerchandisestore.com/Google+Redesign/eco+friendly,1195
scroll,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Notebooks,1161
scroll,shop.googlemerchandisestore.com/myaccount,1150
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Dino+Game+Tee,1128
view_item,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Small+Goods,1124
page_view,shop.googlemerchandisestore.com/store-policies/return-policy,1113
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Charcoal,1106
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Charcoal,1082
session_start,shop.googlemerchandisestore.com/basket,1077
scroll,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google,1068
scroll,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,1063
session_start,shop.googlemerchandisestore.com/store-policies/frequently-asked-questions,1052
page_view,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+French+Terry+Sweatshirt,1043
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+French+Terry+Sweatshirt,1034
user_engagement,shop.googlemerchandisestore.com/store-policies/return-policy,1029
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Navy+Speckled+Tee,1012
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Navy+Speckled+Tee,1008
session_start,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google,1003
scroll,shop.googlemerchandisestore.com/ordercompleted,1000
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Navy,993
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Campus+Bike+Eco+Tee+Navy,986
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Navy,985
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Campus+Bike+Eco+Tee+Navy,976
view_item,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+French+Terry+Sweatshirt,940
first_visit,shop.googlemerchandisestore.com/store-policies/frequently-asked-questions,932
view_item,shop.googlemerchandisestore.com/Google+Redesign/Google+Blue+Stojo+Cup,924
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Unisex+Tee,924
page_view,shop.googlemerchandisestore.com/Google+Redesign/Google+Blue+Stojo+Cup,924
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Heather+Green+Speckled+Tee,922
session_start,shop.googlemerchandisestore.com/Google+Redesign/Clearance,920
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Unisex+Tee,917
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+FC+Longsleeve+Charcoal,916
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Google+Blue+Stojo+Cup,914
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Heather+Green+Speckled+Tee,914
scroll,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Socks,899
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Cotton+Cap+LS,898
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Cotton+Cap+LS,898
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+FC+Longsleeve+Charcoal,897
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Black,896
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Black,893
view_item,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google,892
page_view,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Nalgene+Water+Bottle+LS,885
view_item,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Nalgene+Water+Bottle+LS,884
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Cotton+Cap+LS,883
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Black,878
view_item,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,875
session_start,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Dino+Game+Tee,871
page_view,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+Mug,868
view_item,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+Mug,867
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Nalgene+Water+Bottle+LS,864
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Blue,863
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Blue,863
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+Mug,862
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Grid+Zip+Up,858
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Grid+Zip+Up,857
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Navy,857
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Campus+Bike+Eco+Tee+Navy,855
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Blue,852
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Leather+Strap+Hat+Black,848
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Crew+Socks,845
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Heathered+Pom+Beanie,844
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Puff+Jacket+Black,844
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Leather+Strap+Hat+Black,844
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids,843
page_view,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/I+am+Remarkable,842
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Heathered+Pom+Beanie,842
page_view,shop.googlemerchandisestore.com/store-policies/privacy-policy,841
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Crew+Socks,839
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Puff+Jacket+Black,839
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Unisex+Tee,837
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Microfleece+Jacket+Black,836
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Crew+Socks,834
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Crew+Socks,833
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Leather+Strap+Hat+Black,833
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/I+am+Remarkable,831
view_item,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+Tech+Taco,831
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Heathered+Pom+Beanie,831
page_view,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+Tech+Taco,831
first_visit,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Dino+Game+Tee,827
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Microfleece+Jacket+Black,827
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+Tech+Taco,826
page_view,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Fun/Google+Kick+Ball,826
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/IamRemarkable+Hoodie,825
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/IamRemarkable+Hoodie,825
view_item,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Fun/Google+Kick+Ball,824
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+FC+Zip+Hoodie,823
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+FC+Zip+Hoodie,823
first_visit,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,822
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Crew+Socks,821
page_view,shop.googlemerchandisestore.com/Google+RMG+Redesign/Lifestyle/Mural+Food+Container,819
view_item,shop.googlemerchandisestore.com/Google+RMG+Redesign/Lifestyle/Mural+Food+Container,817
